TIME	Aqua: aCC(=O)C(=O)ON(=O)=O + [aH2O] -> aCC(=O)C(=O)O + H	other sources	Gas: CC(=O)C(=O)O -> CC(=O)O[O] + HO2	Aqua: aCC(=O)C(=O)[O-] + aH2O2 -> aCO2 + aCC(=O)[O-] + [	Aqua: aCC(=O)C(=O)O + aH2O2 -> aCO2 + aCC(=O)O + [aH2O]	Aqua: aCC(=O)C(=O)[O-] + aHO -> aO=C([O-])C(=O)[C] + [aH	other sinks
49.1944	2.46747E-15	3.64548E-15	0	-7.81018E-16	-6.0329E-17	-6.45826E-17	-3.02401E-15
49.3611	2.38616E-15	3.5991E-15	0	-8.86294E-16	-9.5062E-17	-5.84664E-17	-3.07844E-15
49.5278	2.36261E-15	3.58487E-15	0	-9.5723E-16	-1.30693E-16	-5.29094E-17	-2.93888E-15
49.6944	2.36625E-15	3.57283E-15	0	-1.02171E-15	-1.66857E-16	-4.94816E-17	-2.8304E-15
49.8611	2.38581E-15	3.56308E-15	0	-1.08978E-15	-2.03627E-16	-4.99299E-17	-2.75312E-15
50.0278	2.41307E-15	3.55536E-15	0	-1.15448E-15	-2.38735E-16	-4.73255E-17	-2.69075E-15
50.1944	2.44548E-15	3.54941E-15	0	-1.22393E-15	-2.7307E-16	-4.71611E-17	-2.64593E-15
50.3611	2.48114E-15	3.54502E-15	0	-1.30042E-15	-3.0696E-16	-4.75958E-17	-2.6123E-15
50.5278	2.51884E-15	3.5419E-15	0	-1.3837E-15	-3.40397E-16	-4.84895E-17	-2.58687E-15
50.6944	2.55789E-15	3.53985E-15	0	-1.4732E-15	-3.73385E-16	-4.97386E-17	-2.56748E-15
50.8611	2.59786E-15	3.53869E-15	0	-1.56823E-15	-4.0594E-16	-5.12645E-17	-2.55256E-15
51.0278	2.63847E-15	3.53831E-15	0	-1.66807E-15	-4.38077E-16	-5.30063E-17	-2.54091E-15
51.1944	2.67957E-15	3.53859E-15	0	-1.77198E-15	-4.69812E-16	-5.49164E-17	-2.53167E-15
51.3611	2.72103E-15	3.53943E-15	0	-1.87931E-15	-5.01161E-16	-5.69573E-17	-2.52418E-15
51.5278	2.76277E-15	3.54076E-15	0	-1.98946E-15	-5.32137E-16	-5.90991E-17	-2.51799E-15
51.6944	2.80474E-15	3.54252E-15	0	-2.10191E-15	-5.62752E-16	-6.13183E-17	-2.51272E-15
51.8611	2.84689E-15	3.54465E-15	0	-2.21622E-15	-5.93012E-16	-6.35962E-17	-2.50812E-15
52.0278	2.88919E-15	3.5471E-15	0	-2.33199E-15	-6.22925E-16	-6.59177E-17	-2.50399E-15
