Time	Sulfate(C2w)	Time	Sulfate(C2wo)	Time	Nitrate(C2w)	Time	Nitrate(C2wo)	Time	Ammonium(C2w)	Time	Ammonium(C2wo)
53.92528	55.20653	55.00417	15.11868	53.92528	44.6289	55.00417	44.73725	53.92528	28.84734	55.00417	16.93348
54.09194	55.20873	55.17083	15.14221	54.09194	44.63428	55.17083	44.70996	54.09194	28.86606	55.17083	16.93386
54.25861	55.21146	55.3375	15.1675	54.25861	44.63507	55.3375	44.68267	54.25861	28.88298	55.3375	16.93458
54.42528	55.21489	55.50417	15.19456	54.42528	44.63295	55.50417	44.6565	54.42528	28.89846	55.50417	16.93597
54.59194	55.21924	55.67083	15.22362	54.59194	44.62885	55.67083	44.63189	54.59194	28.91286	55.67083	16.9382
54.75861	55.22429	55.8375	15.25443	54.75861	44.62382	55.8375	44.60914	54.75861	28.92654	55.8375	16.94146
54.92528	55.23025	56.00417	15.28735	54.92528	44.61879	56.00417	44.58906	54.92528	28.9395	56.00417	16.94598
55.09194	55.23711	56.17083	15.32219	55.09194	44.61396	56.17083	44.57171	55.09194	28.95264	56.17083	16.95181
55.25861	55.24507	56.3375	15.35919	55.25861	44.61055	56.3375	44.5577	55.25861	28.9656	56.3375	16.95908
55.42528	55.25402	56.50417	15.39815	55.42528	44.60845	56.50417	44.54712	55.42528	28.97874	56.50417	16.96786
55.59194	55.26406	56.67083	15.43937	55.59194	44.6084	56.67083	44.54019	55.59194	28.99224	56.67083	16.97834
55.75861	55.27529	56.8375	15.4825	55.75861	44.61083	56.8375	44.53704	55.75861	29.00628	56.8375	16.99038
55.92528	55.28771	57.00417	15.5277	55.92528	44.61556	57.00417	44.53793	55.92528	29.02068	57.00417	17.00426
56.09194	55.30141	57.17083	15.57502	56.09194	44.6234	57.17083	44.54291	56.09194	29.0358	57.17083	17.01978
56.25861	55.3163	57.3375	15.62429	56.25861	44.63421	57.3375	44.55199	56.25861	29.05164	57.3375	17.03713
56.42528	55.33257	57.50417	15.67551	56.42528	44.64838	57.50417	44.56509	56.42528	29.06838	57.50417	17.05626
56.59194	55.35003	57.67083	15.72876	56.59194	44.6659	57.67083	44.58248	56.59194	29.08566	57.67083	17.07709
56.75861	55.36896	57.8375	15.78382	56.75861	44.68689	57.8375	44.60371	56.75861	29.1042	57.8375	17.09968
56.92528	55.38936	58.00417	15.84067	56.92528	44.71167	58.00417	44.62879	56.92528	29.12364	58.00417	17.12396
57.09194	55.41095	58.17083	15.89931	57.09194	44.74005	58.17083	44.6579	57.09194	29.14398	58.17083	17.14983
57.25861	55.4341	58.3375	15.95947	57.25861	44.77209	58.3375	44.69042	57.25861	29.1654	58.3375	17.1774
57.42528	55.45863	58.50417	16.02138	57.42528	44.80773	58.50417	44.72678	57.42528	29.18772	58.50417	17.20635
57.59194	55.48443	58.67083	16.08465	57.59194	44.84715	58.67083	44.76624	57.59194	29.2113	58.67083	17.23686
57.75861	55.51151	58.8375	16.14923	57.75861	44.89023	58.8375	44.80869	57.75861	29.23578	58.8375	17.26868
57.92528	55.54015	59.00417	16.2152	57.92528	44.93648	59.00417	44.85429	57.92528	29.26152	59.00417	17.30169
58.09194	55.56997	59.17083	16.28224	58.09194	44.98633	59.17083	44.90256	58.09194	29.28816	59.17083	17.336
58.25861	55.60124	59.3375	16.35033	58.25861	45.03934	59.3375	44.95337	58.25861	29.31588	59.3375	17.3715
58.42528	55.63389	59.50417	16.41939	58.42528	45.09527	59.50417	45.00641	58.42528	29.3445	59.50417	17.40791
58.59194	55.6676	59.67083	16.48925	58.59194	45.15436	59.67083	45.0615	58.59194	29.3742	59.67083	17.44522
58.75861	55.7023	59.8375	16.55978	58.75861	45.216	59.8375	45.11832	58.75861	29.4048	59.8375	17.48335
58.92528	55.73844	60.00417	16.63083	58.92528	45.28005	60.00417	45.17701	58.92528	29.43612	60.00417	17.52225
59.09194	55.77566	60.17083	16.70219	59.09194	45.34634	60.17083	45.2368	59.09194	29.46852	60.17083	17.56167
59.10861	55.7795	60.3375	16.77396	59.10861	45.3531	60.3375	45.29797	59.10861	29.47176	60.3375	17.60161
59.27528	55.75234	60.50417	16.84579	59.27528	54.08934	60.50417	45.36006	59.27528	33.45049	60.50417	17.64207
59.35861	57.86268	60.67083	16.9177	59.35861	54.66173	60.67083	45.42301	59.35861	36.35003	60.67083	17.68293
59.52528	59.40575	60.8375	16.98951	59.52528	54.76963	60.8375	45.4864	59.52528	36.47706	60.8375	17.72394
59.69194	59.93602	61.00417	17.06099	59.69194	54.88064	61.00417	45.55047	59.69194	36.57011	61.00417	17.76505
59.85861	60.4325	61.17083	17.13206	59.85861	54.99407	61.17083	45.61479	59.85861	36.66173	61.17083	17.8063
60.02528	60.9175	61.3375	17.20266	60.02528	55.10985	61.3375	45.67911	60.02528	36.75226	61.3375	17.84756
60.19194	61.39335	61.50417	17.27266	60.19194	55.22761	61.50417	45.74342	60.19194	36.84226	61.50417	17.88869
