TIME	Aqua: aO=C([O-])C(O)[O] + aO2 -> aO=C(O)C(=O)[O-] + aHO2	Aqua: aO=C(O)C(O)[O] + aO2 -> aO=C(O)C(=O)O + aHO2	other sources	Aqua: FEC2O42m -> FEpp + aO=C([O-])C(=O)[O-] + aCO2 + aO	Aqua: FEC2O43mmm -> FEpp + aO=C([O-])C(=O)[O-] + aCO2 +	Aqua: aO=C(O)C(=O)[O-] + aNO3 -> aO=C([O-])C(=O)[O] + NO	Aqua: aNO3 + aO=C([O-])C(=O)[O-] -> NO3m + aO=C([O-])C(=	other sinks
52.5278	9.65885E-16	6.18883E-15	2.57774E-15	0	0	-2.00543E-15	-7.6984E-17	-2.50635E-17
52.6944	9.67411E-16	6.16603E-15	2.57346E-15	0	0	-2.00114E-15	-7.71217E-17	-2.54163E-17
52.8611	9.69155E-16	6.14316E-15	2.56911E-15	0	-7.85703E-29	-1.99686E-15	-7.7278E-17	-2.57654E-17
53.0278	9.24885E-16	4.83666E-15	5.4405E-17	-9.43137E-16	-4.91466E-16	0	-5.4405E-17	-8.01674E-20
53.1944	7.24293E-16	4.45403E-15	1.92061E-15	-3.30081E-14	-1.66949E-14	-1.46976E-15	-5.74684E-17	-2.65697E-17
53.3611	6.11157E-16	3.59976E-15	1.61667E-15	-1.07252E-13	-6.90422E-14	-1.46931E-15	-5.78791E-17	-4.45936E-17
53.5278	5.6166E-16	3.17361E-15	1.47769E-15	-1.14947E-13	-1.24175E-13	-1.83369E-15	-7.28345E-17	-8.81176E-17
53.6944	5.39965E-16	2.94784E-15	1.41365E-15	-6.47604E-14	-1.07473E-13	-2.13714E-15	-8.56093E-17	-1.44898E-16
53.8611	0	2.84745E-15	1.33726E-15	-2.50219E-14	-4.96697E-14	-2.14561E-15	-8.63814E-17	-1.95528E-16
54.0278	5.57886E-16	2.85841E-15	1.44967E-15	-6.95301E-15	-1.38858E-14	-1.97713E-15	-8.04297E-17	-2.29665E-16
