TIME	Aqua: aN2O5 -> NO2p + NO3m	Aqua: NO2p + [aH2O] -> NO3m + Hp	Gas: OH + NO2 -> HNO3	Aqua: aHNO4 + HSO3m -> HSO4m + Hp + NO3m	other sources	other sinks
46.9444	1.64328E-12	1.64328E-12	1.14111E-14	0	1.27219E-13	-3.36648E-15
47.0278	6.11564E-13	6.11564E-13	6.35037E-15	2.72999E-14	1.0822E-12	-6.87735E-15
47.1944	9.13711E-13	9.13711E-13	5.91247E-15	4.97192E-14	6.05355E-13	-5.86901E-15
47.3611	9.71591E-13	9.71591E-13	5.93069E-15	5.92105E-14	5.26562E-13	-3.35995E-15
47.5278	9.85906E-13	9.85906E-13	5.98542E-15	6.19407E-14	5.05779E-13	-2.52648E-15
47.6944	9.93333E-13	9.93333E-13	6.04284E-15	6.35512E-14	4.96676E-13	-2.26956E-15
47.8611	9.99301E-13	9.99301E-13	6.09729E-15	6.50162E-14	4.90445E-13	-2.17285E-15
48.0278	1.00462E-12	1.00462E-12	6.14821E-15	6.64351E-14	4.85264E-13	-2.12116E-15
48.1944	1.0094E-12	1.0094E-12	6.19603E-15	6.77891E-14	4.80672E-13	-2.08407E-15
48.3611	1.01367E-12	1.01367E-12	6.24129E-15	6.90627E-14	4.76534E-13	-2.0534E-15
48.5278	1.01747E-12	1.01747E-12	6.28445E-15	7.02505E-14	4.72837E-13	-2.02666E-15
48.6944	1.02083E-12	1.02083E-12	6.32589E-15	7.13555E-14	4.69482E-13	-2.00287E-15
48.8611	1.02382E-12	1.02382E-12	6.36592E-15	7.23823E-14	4.66429E-13	-1.98162E-15
48.9444	1.02517E-12	1.02517E-12	6.38549E-15	7.28684E-14	4.65004E-13	-1.97174E-15
49.1111	0	0	1.25426E-14	0	8.18355E-14	-2.42224E-15
49.1944	1.15976E-12	1.15976E-12	1.36481E-14	9.95618E-17	1.45606E-13	-3.1024E-15
49.3611	1.2767E-12	1.2767E-12	1.37059E-14	7.48271E-17	1.52704E-13	-3.78087E-15
49.5278	1.26453E-12	1.26453E-12	1.37374E-14	6.114E-17	1.51645E-13	-4.1148E-15
49.6944	1.25202E-12	1.25202E-12	1.37602E-14	5.26055E-17	1.50836E-13	-4.34175E-15
49.8611	1.23996E-12	1.23996E-12	1.37771E-14	4.70394E-17	1.50157E-13	-4.50327E-15
50.0278	1.22825E-12	1.22825E-12	1.37873E-14	4.33342E-17	1.49536E-13	-4.62664E-15
50.1944	1.21688E-12	1.21688E-12	1.37954E-14	4.08832E-17	1.48939E-13	-4.71256E-15
50.3611	1.20585E-12	1.20585E-12	1.38003E-14	3.92703E-17	1.48356E-13	-4.77243E-15
50.5278	1.1952E-12	1.1952E-12	1.38023E-14	3.82558E-17	1.47779E-13	-4.81265E-15
50.6944	1.18493E-12	1.18493E-12	1.38021E-14	3.76687E-17	1.47209E-13	-4.83799E-15
50.8611	1.17504E-12	1.17504E-12	1.38E-14	3.73874E-17	1.46645E-13	-4.85219E-15
51.0278	1.16555E-12	1.16555E-12	1.37966E-14	3.73355E-17	1.46087E-13	-4.85811E-15
51.1944	1.15643E-12	1.15643E-12	1.37923E-14	3.7452E-17	1.45536E-13	-4.85787E-15
51.3611	1.14768E-12	1.14768E-12	1.37874E-14	3.7696E-17	1.44992E-13	-4.85308E-15
51.5278	1.13929E-12	1.13929E-12	1.37822E-14	3.80345E-17	1.44456E-13	-4.84494E-15
51.6944	1.13124E-12	1.13124E-12	1.37769E-14	3.8445E-17	1.43928E-13	-4.83437E-15
51.8611	1.12354E-12	1.12354E-12	1.37717E-14	3.89126E-17	1.43408E-13	-4.82201E-15
52.0278	1.11616E-12	1.11616E-12	1.37666E-14	3.94226E-17	1.42897E-13	-4.80838E-15
52.1944	1.10909E-12	1.10909E-12	1.37618E-14	3.99654E-17	1.42394E-13	-4.79383E-15
52.3611	1.10232E-12	1.10232E-12	1.37573E-14	4.0536E-17	1.419E-13	-4.77866E-15
52.5278	1.09583E-12	1.09583E-12	1.37531E-14	4.11152E-17	1.41411E-13	-4.76305E-15
52.6944	1.08962E-12	1.08962E-12	1.37494E-14	4.17213E-17	1.40935E-13	-4.74716E-15
52.8611	1.08367E-12	1.08367E-12	1.37461E-14	4.23614E-17	1.40466E-13	-4.7311E-15
53.0278	1.02586E-12	1.02586E-12	1.38046E-14	4.32173E-17	6.4538E-14	-2.23132E-16
53.1944	7.71387E-13	7.71387E-13	1.62399E-14	0	9.3185E-14	-3.39138E-15
53.3611	5.52641E-13	5.52641E-13	2.61672E-14	9.21331E-17	7.18064E-14	-2.87045E-15
53.5278	4.1524E-13	4.1524E-13	4.09056E-14	1.16834E-16	5.60087E-14	-3.09275E-15
53.6944	3.33292E-13	3.33292E-13	5.83162E-14	1.31188E-16	4.69637E-14	-3.93197E-15
53.8611	5.09473E-13	5.09473E-13	8.03751E-14	0	2.49689E-14	-5.30338E-15
54.0278	2.47721E-13	2.47721E-13	1.06621E-13	1.69685E-16	3.83153E-14	-7.11994E-15
54.1944	2.23664E-13	2.23664E-13	1.36268E-13	1.91224E-16	3.65348E-14	-9.30433E-15
54.3611	2.06057E-13	2.06057E-13	1.68809E-13	2.13402E-16	3.58215E-14	-1.17915E-14
54.5278	1.92745E-13	1.92745E-13	2.0391E-13	2.36097E-16	3.59248E-14	-1.45274E-14
54.6944	1.82413E-13	1.82413E-13	2.41331E-13	2.59343E-16	3.66828E-14	-1.74672E-14
54.8611	1.7422E-13	1.7422E-13	2.80862E-13	2.8318E-16	3.79894E-14	-2.05732E-14
55.0278	1.67605E-13	1.67605E-13	3.22295E-13	3.07616E-16	3.97757E-14	-2.38127E-14
55.1944	1.6218E-13	1.6218E-13	3.65403E-13	3.32663E-16	4.19924E-14	-2.71571E-14
55.3611	1.5767E-13	1.5767E-13	4.09934E-13	3.58291E-16	4.46058E-14	-3.0581E-14
55.5278	1.53872E-13	1.53872E-13	4.55612E-13	3.84444E-16	4.75901E-14	-3.40616E-14
55.6944	1.50636E-13	1.50636E-13	5.02135E-13	4.11077E-16	5.09248E-14	-3.7578E-14
55.8611	1.47847E-13	1.47847E-13	5.4918E-13	4.38091E-16	5.45896E-14	-4.11109E-14
56.0278	1.45417E-13	1.45417E-13	5.9641E-13	4.65404E-16	5.8567E-14	-4.46427E-14
56.1944	1.43274E-13	1.43274E-13	6.43474E-13	4.92914E-16	6.28365E-14	-4.81566E-14
56.3611	1.41364E-13	1.41364E-13	6.90018E-13	5.20507E-16	6.73779E-14	-5.16369E-14
