TIME	Aqua: aO=C(O)CC(O)(O)O[O] -> aO=C(O)CC(=O)O + aHO2	Aqua: aO=C(O)CC(O)[O] + aO2 -> aO=C(O)CC(=O)O + aHO2	Aqua: aO=C(O)CC(=O)O[O] -> aO=C(O)CC(=O)O + aHO2 + [aH2O	Aqua: aO=C([O-])CC(O)(O)O[O] -> aO=C(O)CC(=O)[O-] + aHO2	Aqua: aO=C([O-])CC(O)[O] + aO2 -> aO=C(O)CC(=O)[O-] + aH	other sources	Aqua: aO=C(O)CC(=O)[O-] + aHO -> aO=C(O)[C]C(=O)[O-] + a	Aqua: aO=C(O)CC(=O)[O-] + aNO3 -> aO=C(O)[C]C(=O)[O-] +	other sinks
45.7222	2.62254E-16	1.41731E-16	2.50045E-16	3.76508E-18	1.13592E-18	1.01802E-16	-5.98187E-17	-2.24493E-16	-1.0906E-16
45.8889	2.61306E-16	1.41218E-16	2.49144E-16	3.76485E-18	1.13584E-18	1.01141E-16	-5.98325E-17	-2.24213E-16	-1.08664E-16
46.0556	2.60344E-16	1.40698E-16	2.4825E-16	3.76456E-18	1.13574E-18	1.00478E-16	-5.98416E-17	-2.23939E-16	-1.08258E-16
46.2222	2.59371E-16	1.40172E-16	2.47367E-16	3.76424E-18	1.13563E-18	9.98155E-17	-5.98464E-17	-2.23673E-16	-1.07844E-16
46.3889	2.58391E-16	1.39641E-16	2.46494E-16	3.7639E-18	1.13551E-18	9.91535E-17	-5.98473E-17	-2.23415E-16	-1.07423E-16
46.5556	2.57405E-16	1.39108E-16	2.45633E-16	3.76357E-18	1.13539E-18	9.84936E-17	-5.98448E-17	-2.23166E-16	-1.06997E-16
46.7222	2.56415E-16	1.38572E-16	2.44785E-16	3.76324E-18	1.13527E-18	9.78365E-17	-5.98392E-17	-2.22927E-16	-1.06565E-16
46.7778	2.56019E-16	1.38358E-16	2.4445E-16	3.76311E-18	1.13522E-18	9.75732E-17	-5.98354E-17	-2.22833E-16	-1.06392E-16
46.9444	3.55343E-16	1.96528E-16	2.46812E-16	5.73478E-18	1.77053E-18	1.23049E-16	-1.30458E-16	-2.69278E-16	-2.0751E-16
47.0278	8.85488E-17	3.91449E-17	2.05184E-17	1.13384E-15	2.91434E-16	1.09524E-16	-6.05535E-16	-5.13089E-16	-2.20315E-15
