TIME	Aqua: HSO3m + aH2O2 + Hp -> SO4mm + Hp + [aH2O]	Aqua: SO3mm + aO3 -> SO4mm + aO2	Aqua: HSO5m + HSO3m + Hp -> SO4mm + Hp	Aqua: aHNO4 + HSO3m -> HSO4m + Hp + NO3m	Gas: HSO3 -> HO2 + SULF	other sources	other sinks
49.8611	2.08347E-15	2.53309E-20	3.14182E-21	0	1.92769E-15	1.59339E-14	-1.56432E-14
50.0278	2.41277E-15	0	0	4.3336E-17	1.96317E-15	1.625E-14	-1.59372E-14
50.1944	2.74419E-15	0	0	4.08802E-17	1.99792E-15	1.64762E-14	-1.61557E-14
50.3611	3.08201E-15	1.61582E-20	3.24337E-21	4.00121E-17	2.03177E-15	1.66297E-14	-1.63008E-14
50.5278	3.426E-15	1.90156E-20	0	3.82565E-17	2.06476E-15	1.67247E-14	-1.63882E-14
50.6944	3.77625E-15	0	0	3.76669E-17	2.09693E-15	1.67744E-14	-1.64307E-14
50.8611	4.13255E-15	1.37308E-20	3.33938E-21	3.73863E-17	2.12834E-15	1.67895E-14	-1.64389E-14
51.0278	4.49477E-15	1.34345E-20	3.37444E-21	3.73346E-17	2.15905E-15	1.67784E-14	-1.64214E-14
51.1944	4.86265E-15	1.33051E-20	3.40662E-21	3.74517E-17	2.1891E-15	1.67479E-14	-1.63847E-14
51.3611	5.23591E-15	1.32466E-20	3.45846E-21	3.7695E-17	2.21855E-15	1.6703E-14	-1.6334E-14
51.5278	5.61432E-15	1.58654E-20	0	3.80339E-17	2.24744E-15	1.66477E-14	-1.62732E-14
51.6944	5.99763E-15	1.29799E-20	3.89396E-21	3.84455E-17	2.27579E-15	1.65849E-14	-1.62052E-14
51.8611	6.38558E-15	1.36819E-20	3.73144E-21	3.8913E-17	2.30363E-15	1.65168E-14	-1.61321E-14
52.0278	6.77795E-15	1.36085E-20	3.61511E-21	3.9422E-17	2.33099E-15	1.64451E-14	-1.60556E-14
52.1944	7.17452E-15	1.37977E-20	3.64204E-21	3.99659E-17	2.35788E-15	1.6371E-14	-1.59769E-14
52.3611	7.57509E-15	1.46256E-20	3.98879E-21	4.05366E-17	2.38431E-15	1.62955E-14	-1.58969E-14
52.5278	7.97951E-15	0	0	4.11283E-17	2.41032E-15	1.62193E-14	-1.58162E-14
52.6944	8.38748E-15	0	0	4.17373E-17	2.43589E-15	1.6142E-14	-1.57353E-14
52.8611	8.79895E-15	1.45127E-20	3.87007E-21	4.2361E-17	2.46105E-15	1.60656E-14	-1.56548E-14
53.0278	9.2166E-15	1.48439E-20	3.69299E-21	0	2.49533E-15	1.49754E-14	0
53.1944	1.09099E-14	0	0	0	2.95311E-15	7.48958E-15	-8.98173E-15
53.3611	1.0313E-14	0	0	9.21491E-17	4.78233E-15	8.67524E-15	-7.65407E-15
53.5278	1.12242E-14	0	0	1.16732E-16	7.51134E-15	7.4415E-15	-5.72685E-15
53.6944	1.22236E-14	1.6199E-20	2.53809E-21	1.31187E-16	1.07492E-14	6.66476E-15	-4.56394E-15
53.8611	0	0	0	0	1.48607E-14	2.36237E-16	-1.90416E-15
54.0278	1.42693E-14	1.64547E-20	3.29093E-21	1.69685E-16	1.97595E-14	5.2289E-15	-3.3807E-15
54.1944	1.53732E-14	0	0	1.91235E-16	2.52982E-14	4.66353E-15	-3.06114E-15
54.3611	1.6573E-14	1.7651E-20	3.41101E-21	2.13396E-16	3.13821E-14	4.22433E-15	-2.83131E-15
54.5278	1.78803E-14	1.8027E-20	3.80761E-21	2.36108E-16	3.79519E-14	3.88492E-15	-2.66135E-15
54.6944	1.92996E-14	1.80472E-20	4.51179E-21	2.59343E-16	4.49676E-14	3.62138E-15	-2.53352E-15
54.8611	2.08336E-14	1.87351E-20	4.70177E-21	2.83208E-16	5.23988E-14	3.41627E-15	-2.43664E-15
55.0278	2.24846E-14	1.89459E-20	5.05224E-21	3.07616E-16	6.02179E-14	3.2571E-15	-2.3633E-15
55.1944	2.42556E-14	1.97192E-20	5.37797E-21	3.32663E-16	6.83965E-14	3.13457E-15	-2.30824E-15
55.3611	2.61492E-14	1.98383E-20	6.33323E-21	3.58296E-16	7.69039E-14	3.04166E-15	-2.26777E-15
55.5278	2.81684E-14	2.01864E-20	6.914E-21	3.84484E-16	8.57065E-14	2.97292E-15	-2.2392E-15
55.6944	3.0316E-14	2.10276E-20	7.64638E-21	4.11076E-16	9.47677E-14	2.92409E-15	-2.22035E-15
55.8611	3.25948E-14	2.78893E-20	0	4.38092E-16	1.04047E-13	2.89179E-15	-2.20973E-15
56.0278	3.50073E-14	2.1469E-20	8.7218E-21	4.65404E-16	1.13503E-13	2.87309E-15	-2.20606E-15
56.1944	3.7556E-14	2.16737E-20	9.5926E-21	4.92914E-16	1.23089E-13	2.86596E-15	-2.20833E-15
56.3611	4.02429E-14	2.14757E-20	8.59029E-21	5.20507E-16	1.32757E-13	2.86846E-15	-2.21571E-15
56.5278	4.30699E-14	2.26012E-20	1.13006E-20	5.48077E-16	1.42459E-13	2.87911E-15	-2.22752E-15
56.6944	4.60381E-14	2.28178E-20	1.17769E-20	5.75501E-16	1.52142E-13	2.89661E-15	-2.24317E-15
56.8611	4.91486E-14	2.3234E-20	1.27787E-20	6.02661E-16	1.61757E-13	2.91989E-15	-2.26217E-15
57.0278	5.24016E-14	2.38254E-20	1.344E-20	6.29435E-16	1.71251E-13	2.94805E-15	-2.28409E-15
57.1944	5.57969E-14	2.39723E-20	1.41375E-20	6.55704E-16	1.80574E-13	2.98033E-15	-2.30853E-15
57.3611	5.93339E-14	2.41254E-20	1.5465E-20	6.81354E-16	1.89675E-13	3.01606E-15	-2.33517E-15
57.5278	6.30109E-14	2.46668E-20	1.60871E-20	7.06274E-16	1.98507E-13	3.05468E-15	-2.3637E-15
57.6944	6.68256E-14	2.51377E-20	1.69209E-20	7.30363E-16	2.07024E-13	3.0957E-15	-2.39385E-15
57.8611	7.07748E-14	2.53996E-20	1.75378E-20	7.53518E-16	2.15183E-13	3.13869E-15	-2.42535E-15
58.0278	7.48546E-14	2.56382E-20	1.8646E-20	7.75658E-16	2.22944E-13	3.18329E-15	-2.45798E-15
